Urban,YearBuilt,TrafficLanes,ADT,YEAR_ADT,ApproachWidth_M,StructureLength_M,RoadwayWidth_M,DECK_WIDTH_M,YEAR_RECON,AADTPERCENT,DeckArea_SQM,Latitude,Longitude,PPTIN,TMAXC,TMINC,SeismicHazard,BridgeCond
1,1938,4,7220,2013,18.3,13.1,0,0,1970,15,239.73,33.37239,-97.09356,52.1105,24.3245,11.7821,0.07368,U
0,1986,2,1650,2013,12.2,15.2,0,0,0,23,185.44,33.26345,-97.02445,52.7749,24.422,12.1894,0.06893,S
0,1950,2,840,2013,7.6,10.7,11.6,12,1980,43,132.68,33.38197,-97.18466,45.9422,24.1441,11.6324,0.07367,S
0,2011,2,10,2010,4.9,6.7,0,0,0,0,32.83,33.51449,-97.18558,47.1303,23.7884,11.3626,0.08084,U
0,2001,2,110,2010,5.5,11.6,7.2,8,0,0,91.64,33.3141,-97.11014,50.1871,24.3674,11.9695,0.07077,S
0,2002,2,20,2010,6.1,16.5,7.2,8,0,5,130.35,33.29257,-97.05096,53.4676,24.4897,12.1731,0.07007,S
0,2013,1,120,2010,5.5,7,5.5,6,0,5,38.5,33.3928,-96.58401,59.0541,23.5985,11.8551,0.07624,S
1,1967,11,26970,2013,67.1,6.1,0,0,0,28,409.31,33.53157,-98.28591,34.7293,24.3062,10.8775,0.07146,U
0,1939,2,770,2013,8.5,10.4,8.5,11,0,19,114.4,33.51277,-98.49219,33.9499,24.573,10.7864,0.06749,U
0,1930,2,1670,2013,7.3,6.7,0,0,1966,19,48.91,33.55338,-98.40437,34.8041,24.394,10.7696,0.07091,U
0,1961,2,270,2013,6.1,13.1,8.5,9,0,5,116.59,33.52152,-98.46378,34.1745,24.5253,10.7933,0.06836,U
1,1965,4,3740,2015,13.4,8.8,13.3,20,0,2,172.48,33.51115,-98.33405,34.0229,24.358,10.8818,0.06969,U
0,1951,2,290,2013,6.7,6.4,6.7,9,0,42,58.24,32.59465,-98.41087,35.0722,25.2014,11.6013,0.04135,U
0,1944,2,1720,2013,13.7,10.1,13.7,22,1992,12,221.19,33.12013,-98.3028,35.7934,24.7126,10.7585,0.05444,U
0,1958,2,40,2013,6.1,12.8,6.1,9,0,39,120.32,32.58395,-98.53524,33.9524,24.9161,11.3685,0.04044,S
0,1958,2,310,2013,6.1,13.1,9.8,10,0,5,133.62,33.47377,-101.14229,21.2088,23.8594,8.93549,0.03736,U
0,1933,2,4000,2015,11.6,8.8,11.5,16,1999,29,138.16,32.59273,-101.08332,19.3645,24.7239,10.261,0.03261,U
1,1947,2,950,2013,7.3,6.7,8.8,10,0,14,70.35,33.12159,-101.22519,17.8867,24.2115,9.57446,0.03388,U
0,1960,2,380,2013,8.5,14,9.4,13,0,26,176.4,33.04394,-101.243,17.659,24.341,9.78328,0.03342,U
0,1948,2,540,2013,9.1,10.4,0,0,1994,35,94.64,33.53254,-101.59377,16.6954,23.3907,8.17106,0.03616,U
0,1957,4,8480,2013,23.2,7.6,23.2,35,0,14,269.04,33.47,-102.07575,17.7588,23.2266,7.81845,0.03437,U
1,1973,2,1010,2013,8.5,6.7,17.1,18,0,8,117.25,33.39014,-101.56464,17.5792,23.5823,8.45776,0.03492,S
0,1959,4,6180,2013,23.2,9.8,23.2,37,0,17,362.6,33.03335,-102.24596,16.2693,23.9267,8.28112,0.03332,U
1,1994,4,4580,2013,23.2,14,0,48,0,8,673.4,31.51398,-102.18001,15.6465,25.6403,10.7265,0.04605,S
1,1961,2,990,2015,11.9,10.1,11.9,15,0,0,153.52,31.50136,-102.23591,15.2513,25.7708,10.806,0.04768,U
1,1984,2,2100,2013,13.7,10.7,13.7,18,0,0,195.81,31.49414,-102.21342,15.3565,25.7504,10.7829,0.04711,U
1,1971,5,16100,2017,32.3,9.8,0,46,0,4,451.78,31.57239,-102.08308,16.9811,25.4777,10.6782,0.04334,S
0,1988,4,7000,2017,20.1,8.5,19.4,20,0,16,169.15,31.56053,-102.1339,16.2805,25.5261,10.7207,0.0446,U
0,1930,2,330,2013,13.4,102.4,9,10,1960,26,1034.24,30.09172,-102.37128,12.9373,26.1673,11.4263,0.06072,U
0,1931,2,330,2013,12.8,7,0,0,1960,26,89.6,30.08196,-102.3508,13.0051,26.2433,11.5659,0.05976,U
0,1936,2,860,2013,13.4,15.2,13.4,26,1971,19,396.72,30.36512,-103.17081,12.4228,23.4755,8.50305,0.12084,S
0,1937,2,860,2013,13.4,10.1,13.4,26,1971,19,263.61,30.35564,-103.18355,12.2679,23.9366,8.21475,0.1223,S
0,1947,2,1420,2013,12.2,7,13.4,14,1966,16,96.6,30.47497,-103.08227,13.8719,24.1575,8.59394,0.10563,S
0,1958,2,790,2013,12.2,12.5,13.4,14,0,37,172.5,30.55336,-102.36232,17.1335,26.0839,10.9458,0.05155,U
0,1974,1,790,2013,9.1,7.6,0,0,0,37,69.16,30.52427,-102.38499,16.7404,26.0706,10.7866,0.05268,S
0,1955,2,2110,2013,13.4,10.7,25.6,26,1969,25,278.2,31.01422,-103.07096,13.1637,26.5776,10.5807,0.09316,S
0,1941,2,2110,2013,13.4,12.2,0,0,1968,25,163.48,30.57149,-102.59285,16.0174,25.9438,10.2553,0.06267,S
0,1962,2,2110,2013,13.4,14,0,0,1968,25,187.6,30.58562,-103.021,13.9903,25.3184,9.17997,0.09324,U
0,1932,2,20,2013,6.1,16.2,7.3,8,0,35,132.84,30.51421,-102.33486,17.0241,26.0921,10.9258,0.05073,S
0,1975,2,2190,2013,12.2,25.9,12.9,14,0,44,352.24,30.52102,-102.29068,17.4687,26.0599,11.0666,0.04903,U
0,1975,4,4380,2013,24.4,13.7,0,55,0,44,757.61,30.534,-102.20226,18.1138,26.107,11.3834,0.04603,U
0,1978,4,4020,2013,24.4,13.7,0,0,0,44,334.28,30.44442,-101.52501,20.5846,25.9255,11.4181,0.03202,S
0,1931,4,5390,2013,22.9,21.6,0,0,1982,40,494.64,30.56576,-103.22595,13.1171,25.3289,9.24165,0.11355,U
